idEntrada;usuarioOnline;statusSaida;paginaSaida;avaliacao.r;dataHoraEntrada;dataHoraSaida;dataHoraErro;tempoAcesso;codigo;erro
72;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 17:56;18/05/2021 17:56;NA;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
135;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;NA;500;"""CHAVE PIX INCORRETA"""
307;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:57;NA;500;"""CLIENTE NAO CADASTRADO"""
336;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:57;NA;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
359;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:56;18/05/2021 17:55;NA;500;"""CHAVE PIX INCORRETA"""
616;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 17:56;18/05/2021 17:56;NA;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
416;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:56;18/05/2021 17:55;NA;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
439;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;NA;500;"""CLIENTE NAO CADASTRADO"""
690;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;NA;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
456;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 17:56;18/05/2021 17:54;NA;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
508;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;NA;500;"""CLIENTE NAO CADASTRADO"""
929;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:06;18/05/2021 18:05;539;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
549;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:06;18/05/2021 18:06;532;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
371;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:06;18/05/2021 18:05;530;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
216;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;441;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
746;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;NA;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO TENTE NOVAMENTE MAIS TARDE"""
759;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;NA;500;"""SENHA INCORRETA"""
429;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;436;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
56;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;422;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
620;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;426;500;"""CHAVE PIX INCORRETA"""
940;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:04;404;500;"""CHAVE PIX INCORRETA"""
264;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;396;500;"""CHAVE PIX INCORRETA"""
767;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;393;500;"""CHAVE PIX INCORRETA"""
30;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;390;500;"""CHAVE PIX INCORRETA"""
818;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;386;500;"""CHAVE PIX INCORRETA"""
45;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;385;500;"""CHAVE PIX INCORRETA"""
90;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;378;500;"""CHAVE PIX INCORRETA"""
553;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;373;500;"""CHAVE PIX INCORRETA"""
657;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;362;500;"""CHAVE PIX INCORRETA"""
374;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;339;500;"""CHAVE PIX INCORRETA"""
536;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;336;500;"""CHAVE PIX INCORRETA"""
467;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;329;500;"""CHAVE PIX INCORRETA"""
741;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;325;500;"""CHAVE PIX INCORRETA"""
447;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;293;500;"""CHAVE PIX INCORRETA"""
279;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;291;500;"""CHAVE PIX INCORRETA"""
432;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;285;500;"""CHAVE PIX INCORRETA"""
955;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;283;500;"""CHAVE PIX INCORRETA"""
794;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;280;500;"""CHAVE PIX INCORRETA"""
482;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;278;500;"""CHAVE PIX INCORRETA"""
903;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;276;500;"""CHAVE PIX INCORRETA"""
836;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;274;500;"""CHAVE PIX INCORRETA"""
709;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;267;500;"""CHAVE PIX INCORRETA"""
60;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;266;500;"""CHAVE PIX INCORRETA"""
497;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;262;500;"""CHAVE PIX INCORRETA"""
